"","date","location","sensor","smoothing","value","season_year","season","days_into_season"
"1",2022-01-01 05:00:00,"myron","aqs","raw",0.354,"2022","Winter",31.2083333333333
"2",2022-01-01 05:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.2083333333333
"3",2022-01-01 05:00:00,"myron","res","raw",NA,"2022","Winter",31.2083333333333
"4",2022-01-01 06:00:00,"myron","aqs","raw",0.398,"2022","Winter",31.25
"5",2022-01-01 06:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.25
"6",2022-01-01 06:00:00,"myron","res","raw",NA,"2022","Winter",31.25
"7",2022-01-01 07:00:00,"myron","aqs","raw",0.325,"2022","Winter",31.2916666666667
"8",2022-01-01 07:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.2916666666667
"9",2022-01-01 07:00:00,"myron","res","raw",NA,"2022","Winter",31.2916666666667
"10",2022-01-01 08:00:00,"myron","aqs","raw",0.327,"2022","Winter",31.3333333333333
"11",2022-01-01 08:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.3333333333333
"12",2022-01-01 08:00:00,"myron","res","raw",NA,"2022","Winter",31.3333333333333
"13",2022-01-01 09:00:00,"myron","aqs","raw",0.296,"2022","Winter",31.375
"14",2022-01-01 09:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.375
"15",2022-01-01 09:00:00,"myron","res","raw",NA,"2022","Winter",31.375
"16",2022-01-01 10:00:00,"myron","aqs","raw",0.245,"2022","Winter",31.4166666666667
"17",2022-01-01 10:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.4166666666667
"18",2022-01-01 10:00:00,"myron","res","raw",NA,"2022","Winter",31.4166666666667
"19",2022-01-01 11:00:00,"myron","aqs","raw",0.188,"2022","Winter",31.4583333333333
"20",2022-01-01 11:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.4583333333333
"21",2022-01-01 11:00:00,"myron","res","raw",NA,"2022","Winter",31.4583333333333
"22",2022-01-01 12:00:00,"myron","aqs","raw",0.166,"2022","Winter",31.5
"23",2022-01-01 12:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.5
"24",2022-01-01 12:00:00,"myron","res","raw",NA,"2022","Winter",31.5
"25",2022-01-01 13:00:00,"myron","aqs","raw",0.165,"2022","Winter",31.5416666666667
"26",2022-01-01 13:00:00,"myron","beaco2n","raw",NA,"2022","Winter",31.5416666666667
"27",2022-01-01 13:00:00,"myron","res","raw",NA,"2022","Winter",31.5416666666667
"28",2022-01-01 14:00:00,"myron","aqs","raw",0.171,"2022","Winter",31.5833333333333
