local_timestamp,epoch,datetime,node_file_id,node_id
2017-07-24 11:00:00,1500919200.0,2017-07-24 18:00:00,1058238,103
2017-07-24 12:00:00,1500922800.0,2017-07-24 19:00:00,1058236,103
2017-07-24 13:00:00,1500926400.0,2017-07-24 20:00:00,1058237,103
2017-07-24 14:00:00,1500930000.0,2017-07-24 21:00:00,1058235,103
2017-07-24 15:00:00,1500933600.0,2017-07-24 22:00:00,870882,103
2017-07-24 16:00:00,1500937200.0,2017-07-24 23:00:00,870881,103
2017-07-24 17:00:00,1500940800.0,2017-07-25 00:00:00,871086,103
2017-07-24 18:00:00,1500944400.0,2017-07-25 01:00:00,871079,103
2017-07-24 19:00:00,1500948000.0,2017-07-25 02:00:00,871085,103
2017-07-24 20:00:00,1500951600.0,2017-07-25 03:00:00,871073,103
2017-07-24 21:00:00,1500955200.0,2017-07-25 04:00:00,871075,103
2017-07-24 22:00:00,1500958800.0,2017-07-25 05:00:00,871091,103
2017-07-24 23:00:00,1500962400.0,2017-07-25 06:00:00,871093,103
2017-07-25 00:00:00,1500966000.0,2017-07-25 07:00:00,871089,103
2017-07-25 01:00:00,1500969600.0,2017-07-25 08:00:00,871072,103
2017-07-25 02:00:00,1500973200.0,2017-07-25 09:00:00,871092,103
2017-07-25 03:00:00,1500976800.0,2017-07-25 10:00:00,871077,103
2017-07-25 04:00:00,1500980400.0,2017-07-25 11:00:00,871082,103
2017-07-25 05:00:00,1500984000.0,2017-07-25 12:00:00,871071,103
2017-07-25 06:00:00,1500987600.0,2017-07-25 13:00:00,871083,103
2017-07-25 07:00:00,1500991200.0,2017-07-25 14:00:00,871090,103
2017-07-25 08:00:00,1500994800.0,2017-07-25 15:00:00,871087,103
2017-07-25 09:00:00,1500998400.0,2017-07-25 16:00:00,871088,103
2017-07-25 10:00:00,1501002000.0,2017-07-25 17:00:00,871074,103
2017-07-25 11:00:00,1501005600.0,2017-07-25 18:00:00,871076,103
2017-07-25 12:00:00,1501009200.0,2017-07-25 19:00:00,871080,103
2017-07-25 13:00:00,1501012800.0,2017-07-25 20:00:00,871081,103
2017-07-25 14:00:00,1501016400.0,2017-07-25 21:00:00,871094,103
2017-07-25 15:00:00,1501020000.0,2017-07-25 22:00:00,871084,103
2017-07-25 16:00:00,1501023600.0,2017-07-25 23:00:00,871078,103
2017-07-25 17:00:00,1501027200.0,2017-07-26 00:00:00,870914,103
2017-07-25 18:00:00,1501030800.0,2017-07-26 01:00:00,870921,103
2017-07-25 19:00:00,1501034400.0,2017-07-26 02:00:00,870924,103
2017-07-25 20:00:00,1501038000.0,2017-07-26 03:00:00,870919,103
2017-07-25 21:00:00,1501041600.0,2017-07-26 04:00:00,870908,103
2017-07-25 22:00:00,1501045200.0,2017-07-26 05:00:00,870922,103
2017-07-25 23:00:00,1501048800.0,2017-07-26 06:00:00,870917,103
2017-07-26 00:00:00,1501052400.0,2017-07-26 07:00:00,870926,103
2017-07-26 01:00:00,1501056000.0,2017-07-26 08:00:00,870913,103
2017-07-26 02:00:00,1501059600.0,2017-07-26 09:00:00,870918,103
2017-07-26 03:00:00,1501063200.0,2017-07-26 10:00:00,870916,103
2017-07-26 04:00:00,1501066800.0,2017-07-26 11:00:00,870911,103
2017-07-26 05:00:00,1501070400.0,2017-07-26 12:00:00,870910,103
2017-07-26 06:00:00,1501074000.0,2017-07-26 13:00:00,870907,103
2017-07-26 07:00:00,1501077600.0,2017-07-26 14:00:00,870912,103
2017-07-26 08:00:00,1501081200.0,2017-07-26 15:00:00,870920,103
2017-07-26 09:00:00,1501084800.0,2017-07-26 16:00:00,870909,103
2017-07-26 10:00:00,1501088400.0,2017-07-26 17:00:00,870915,103
2017-07-26 11:00:00,1501092000.0,2017-07-26 18:00:00,870928,103
2017-07-26 12:00:00,1501095600.0,2017-07-26 19:00:00,870925,103
